name,category,fame_tier,pageviews_monthly_avg,model,model_id,param_class,knowledge_cutoff,confidence,recognition_score,result_count,recognized,matched_person
Adam Morgan,athlete,nameshared,1543,Meta Llama 3.2 1B Instruct,meta-llama/llama-3.2-1b-instruct,small,2023-12,0,0,0,False,True
Adriana Kučerová,musician,low,191,GPT-5.5,openai/gpt-5.5,frontier,2025-12,0,0,0,False,True
Adriana Kučerová,musician,low,191,Claude Opus 4.8,anthropic/claude-opus-4.8,frontier,2025-08,0,0,0,False,True
Adriana Kučerová,musician,low,191,xAI Grok 4.20,x-ai/grok-4.20,frontier,2024-11,0,0,0,False,True
Adriana Kučerová,musician,low,191,Google Gemini 3.1 Flash Lite,google/gemini-3.1-flash-lite,frontier,2026-02,0,0,0,False,True
Adriana Kučerová,musician,low,191,Claude Haiku 4.5,anthropic/claude-haiku-4.5,mid,2025-02,0,0,0,False,True
Adriana Kučerová,musician,low,191,GPT-5.4 Mini,openai/gpt-5.4-mini,mid,unknown,0,0,0,False,True
Adriana Kučerová,musician,low,191,Kimi K2 0905,moonshotai/kimi-k2-0905,large,2025-04,0,0,0,False,True
Adriana Kučerová,musician,low,191,DeepSeek V4 Flash,deepseek/deepseek-v4-flash,large,2025-07,0,0,0,False,True
Adriana Kučerová,musician,low,191,Meta Llama 3.3 70B Instruct,meta-llama/llama-3.3-70b-instruct,large,2023-12,0,0,0,False,True
Adriana Kučerová,musician,low,191,Z.ai GLM 4.7 Flash,z-ai/glm-4.7-flash,mid,unknown,40,38,1,True,True
Adriana Kučerová,musician,low,191,Mistral Small 3.2 24B Instruct,mistralai/mistral-small-3.2-24b-instruct,mid,2025-06,0,0,0,False,True
Adriana Kučerová,musician,low,191,Qwen3 8B,qwen/qwen3-8b,small,2025-04,0,0,0,False,True
Adriana Kučerová,musician,low,191,Meta Llama 3.2 1B Instruct,meta-llama/llama-3.2-1b-instruct,small,2023-12,0,0,0,False,True
Aidy Boothroyd,athlete,nameuniq,1839,GPT-5.5,openai/gpt-5.5,frontier,2025-12,98,98,1,True,True
Aidy Boothroyd,athlete,nameuniq,1839,Claude Opus 4.8,anthropic/claude-opus-4.8,frontier,2025-08,92,92,1,True,True
Aidy Boothroyd,athlete,nameuniq,1839,xAI Grok 4.20,x-ai/grok-4.20,frontier,2024-11,80,80,1,True,True
Aidy Boothroyd,athlete,nameuniq,1839,Google Gemini 3.1 Flash Lite,google/gemini-3.1-flash-lite,frontier,2026-02,100,100,1,True,True
Aidy Boothroyd,athlete,nameuniq,1839,Claude Haiku 4.5,anthropic/claude-haiku-4.5,mid,2025-02,95,95,1,True,True
Aidy Boothroyd,athlete,nameuniq,1839,GPT-5.4 Mini,openai/gpt-5.4-mini,mid,unknown,98,98,1,True,True
Aidy Boothroyd,athlete,nameuniq,1839,Kimi K2 0905,moonshotai/kimi-k2-0905,large,2025-04,90,90,1,True,True
Aidy Boothroyd,athlete,nameuniq,1839,DeepSeek V4 Flash,deepseek/deepseek-v4-flash,large,2025-07,90,90,1,True,True
Aidy Boothroyd,athlete,nameuniq,1839,Meta Llama 3.3 70B Instruct,meta-llama/llama-3.3-70b-instruct,large,2023-12,90,90,1,True,True
Aidy Boothroyd,athlete,nameuniq,1839,Z.ai GLM 4.7 Flash,z-ai/glm-4.7-flash,mid,unknown,100,100,1,True,True
Aidy Boothroyd,athlete,nameuniq,1839,Mistral Small 3.2 24B Instruct,mistralai/mistral-small-3.2-24b-instruct,mid,2025-06,80,80,1,True,True
Aidy Boothroyd,athlete,nameuniq,1839,Qwen3 8B,qwen/qwen3-8b,small,2025-04,75,75,1,True,True
Aidy Boothroyd,athlete,nameuniq,1839,Meta Llama 3.2 1B Instruct,meta-llama/llama-3.2-1b-instruct,small,2023-12,0,0,0,False,True
Akiko Itoyama,novelist,low,164,GPT-5.5,openai/gpt-5.5,frontier,2025-12,95,95,1,True,True
Akiko Itoyama,novelist,low,164,Claude Opus 4.8,anthropic/claude-opus-4.8,frontier,2025-08,80,80,1,True,True
Akiko Itoyama,novelist,low,164,xAI Grok 4.20,x-ai/grok-4.20,frontier,2024-11,0,0,0,False,True
Akiko Itoyama,novelist,low,164,Google Gemini 3.1 Flash Lite,google/gemini-3.1-flash-lite,frontier,2026-02,0,0,0,False,True
Akiko Itoyama,novelist,low,164,Claude Haiku 4.5,anthropic/claude-haiku-4.5,mid,2025-02,0,0,0,False,True
Akiko Itoyama,novelist,low,164,GPT-5.4 Mini,openai/gpt-5.4-mini,mid,unknown,46,46,1,True,True
Akiko Itoyama,novelist,low,164,Kimi K2 0905,moonshotai/kimi-k2-0905,large,2025-04,85,85,1,True,True
Akiko Itoyama,novelist,low,164,DeepSeek V4 Flash,deepseek/deepseek-v4-flash,large,2025-07,0,0,0,False,True
Akiko Itoyama,novelist,low,164,Meta Llama 3.3 70B Instruct,meta-llama/llama-3.3-70b-instruct,large,2023-12,0,0,0,False,True
Akiko Itoyama,novelist,low,164,Z.ai GLM 4.7 Flash,z-ai/glm-4.7-flash,mid,unknown,0,0,0,False,True
Akiko Itoyama,novelist,low,164,Mistral Small 3.2 24B Instruct,mistralai/mistral-small-3.2-24b-instruct,mid,2025-06,0,0,0,False,True
Akiko Itoyama,novelist,low,164,Qwen3 8B,qwen/qwen3-8b,small,2025-04,0,0,0,False,True
Akiko Itoyama,novelist,low,164,Meta Llama 3.2 1B Instruct,meta-llama/llama-3.2-1b-instruct,small,2023-12,0,0,0,False,True
Alain Souchon,musician,high,1806,GPT-5.5,openai/gpt-5.5,frontier,2025-12,99,99,1,True,True
Alain Souchon,musician,high,1806,Claude Opus 4.8,anthropic/claude-opus-4.8,frontier,2025-08,95,95,1,True,True
Alain Souchon,musician,high,1806,xAI Grok 4.20,x-ai/grok-4.20,frontier,2024-11,90,90,1,True,True
Alain Souchon,musician,high,1806,Google Gemini 3.1 Flash Lite,google/gemini-3.1-flash-lite,frontier,2026-02,100,100,1,True,True
Alain Souchon,musician,high,1806,Claude Haiku 4.5,anthropic/claude-haiku-4.5,mid,2025-02,95,95,1,True,True
Alain Souchon,musician,high,1806,GPT-5.4 Mini,openai/gpt-5.4-mini,mid,unknown,99,99,1,True,True
Alain Souchon,musician,high,1806,Kimi K2 0905,moonshotai/kimi-k2-0905,large,2025-04,100,100,1,True,True
Alain Souchon,musician,high,1806,DeepSeek V4 Flash,deepseek/deepseek-v4-flash,large,2025-07,95,95,1,True,True
Alain Souchon,musician,high,1806,Meta Llama 3.3 70B Instruct,meta-llama/llama-3.3-70b-instruct,large,2023-12,90,90,1,True,True
Alain Souchon,musician,high,1806,Z.ai GLM 4.7 Flash,z-ai/glm-4.7-flash,mid,unknown,100,100,1,True,True
Alain Souchon,musician,high,1806,Mistral Small 3.2 24B Instruct,mistralai/mistral-small-3.2-24b-instruct,mid,2025-06,90,90,1,True,True
Alain Souchon,musician,high,1806,Qwen3 8B,qwen/qwen3-8b,small,2025-04,90,90,1,True,True
Alain Souchon,musician,high,1806,Meta Llama 3.2 1B Instruct,meta-llama/llama-3.2-1b-instruct,small,2023-12,90,90,1,True,True
Alexander Dobrindt,politician,high,2859,GPT-5.5,openai/gpt-5.5,frontier,2025-12,97,97,1,True,True
Alexander Dobrindt,politician,high,2859,Claude Opus 4.8,anthropic/claude-opus-4.8,frontier,2025-08,95,95,1,True,True
Alexander Dobrindt,politician,high,2859,xAI Grok 4.20,x-ai/grok-4.20,frontier,2024-11,80,80,1,True,True
Alexander Dobrindt,politician,high,2859,Google Gemini 3.1 Flash Lite,google/gemini-3.1-flash-lite,frontier,2026-02,100,100,1,True,True
Alexander Dobrindt,politician,high,2859,Claude Haiku 4.5,anthropic/claude-haiku-4.5,mid,2025-02,85,85,1,True,True
Alexander Dobrindt,politician,high,2859,GPT-5.4 Mini,openai/gpt-5.4-mini,mid,unknown,99,99,1,True,True
Alexander Dobrindt,politician,high,2859,Kimi K2 0905,moonshotai/kimi-k2-0905,large,2025-04,95,95,1,True,True
Alexander Dobrindt,politician,high,2859,DeepSeek V4 Flash,deepseek/deepseek-v4-flash,large,2025-07,95,95,1,True,True
Alexander Dobrindt,politician,high,2859,Meta Llama 3.3 70B Instruct,meta-llama/llama-3.3-70b-instruct,large,2023-12,0,0,0,False,True
Alexander Dobrindt,politician,high,2859,Z.ai GLM 4.7 Flash,z-ai/glm-4.7-flash,mid,unknown,100,100,1,True,True
Alexander Dobrindt,politician,high,2859,Mistral Small 3.2 24B Instruct,mistralai/mistral-small-3.2-24b-instruct,mid,2025-06,80,80,1,True,True
Alexander Dobrindt,politician,high,2859,Qwen3 8B,qwen/qwen3-8b,small,2025-04,50,50,1,True,True
Alexander Dobrindt,politician,high,2859,Meta Llama 3.2 1B Instruct,meta-llama/llama-3.2-1b-instruct,small,2023-12,0,0,0,False,True
Alexander Golling,actor,low,164,GPT-5.5,openai/gpt-5.5,frontier,2025-12,75,75,1,True,True
Alexander Golling,actor,low,164,Claude Opus 4.8,anthropic/claude-opus-4.8,frontier,2025-08,0,0,0,False,True
Alexander Golling,actor,low,164,xAI Grok 4.20,x-ai/grok-4.20,frontier,2024-11,60,60,1,True,True
Alexander Golling,actor,low,164,Google Gemini 3.1 Flash Lite,google/gemini-3.1-flash-lite,frontier,2026-02,95,95,1,True,True
Alexander Golling,actor,low,164,Claude Haiku 4.5,anthropic/claude-haiku-4.5,mid,2025-02,0,0,0,False,True
Alexander Golling,actor,low,164,GPT-5.4 Mini,openai/gpt-5.4-mini,mid,unknown,0,0,0,False,True
Alexander Golling,actor,low,164,Kimi K2 0905,moonshotai/kimi-k2-0905,large,2025-04,85,85,1,True,True
Alexander Golling,actor,low,164,DeepSeek V4 Flash,deepseek/deepseek-v4-flash,large,2025-07,0,0,0,False,True
Alexander Golling,actor,low,164,Meta Llama 3.3 70B Instruct,meta-llama/llama-3.3-70b-instruct,large,2023-12,0,0,0,False,True
Alexander Golling,actor,low,164,Z.ai GLM 4.7 Flash,z-ai/glm-4.7-flash,mid,unknown,0,0,0,False,True
Alexander Golling,actor,low,164,Mistral Small 3.2 24B Instruct,mistralai/mistral-small-3.2-24b-instruct,mid,2025-06,80,80,1,True,True
Alexander Golling,actor,low,164,Qwen3 8B,qwen/qwen3-8b,small,2025-04,0,0,0,False,True
Alexander Golling,actor,low,164,Meta Llama 3.2 1B Instruct,meta-llama/llama-3.2-1b-instruct,small,2023-12,0,0,0,False,True
Alexander Meier,athlete,deushared,1249,GPT-5.5,openai/gpt-5.5,frontier,2025-12,94,94,1,True,True
Alexander Meier,athlete,deushared,1249,Claude Opus 4.8,anthropic/claude-opus-4.8,frontier,2025-08,80,80,1,True,True
Alexander Meier,athlete,deushared,1249,xAI Grok 4.20,x-ai/grok-4.20,frontier,2024-11,60,60,1,True,True
Alexander Meier,athlete,deushared,1249,Google Gemini 3.1 Flash Lite,google/gemini-3.1-flash-lite,frontier,2026-02,95,95,1,True,True
Alexander Meier,athlete,deushared,1249,Claude Haiku 4.5,anthropic/claude-haiku-4.5,mid,2025-02,0,0,0,False,True
Alexander Meier,athlete,deushared,1249,GPT-5.4 Mini,openai/gpt-5.4-mini,mid,unknown,92,92,1,True,True
Alexander Meier,athlete,deushared,1249,Kimi K2 0905,moonshotai/kimi-k2-0905,large,2025-04,85,85,1,True,True
Alexander Meier,athlete,deushared,1249,DeepSeek V4 Flash,deepseek/deepseek-v4-flash,large,2025-07,0,0,0,False,True
Alexander Meier,athlete,deushared,1249,Meta Llama 3.3 70B Instruct,meta-llama/llama-3.3-70b-instruct,large,2023-12,80,80,1,True,True
Alexander Meier,athlete,deushared,1249,Z.ai GLM 4.7 Flash,z-ai/glm-4.7-flash,mid,unknown,95,95,1,True,True
Alexander Meier,athlete,deushared,1249,Mistral Small 3.2 24B Instruct,mistralai/mistral-small-3.2-24b-instruct,mid,2025-06,80,80,1,True,True
Alexander Meier,athlete,deushared,1249,Qwen3 8B,qwen/qwen3-8b,small,2025-04,0,0,0,False,True
Alexander Meier,athlete,deushared,1249,Meta Llama 3.2 1B Instruct,meta-llama/llama-3.2-1b-instruct,small,2023-12,0,0,0,False,True
Alfian Sa'at,novelist,pdcopyright,817,GPT-5.5,openai/gpt-5.5,frontier,2025-12,97,97,1,True,True
Alfian Sa'at,novelist,pdcopyright,817,Claude Opus 4.8,anthropic/claude-opus-4.8,frontier,2025-08,90,90,1,True,True
Alfian Sa'at,novelist,pdcopyright,817,xAI Grok 4.20,x-ai/grok-4.20,frontier,2024-11,80,80,1,True,True
Alfian Sa'at,novelist,pdcopyright,817,Google Gemini 3.1 Flash Lite,google/gemini-3.1-flash-lite,frontier,2026-02,100,100,1,True,True
Alfian Sa'at,novelist,pdcopyright,817,Claude Haiku 4.5,anthropic/claude-haiku-4.5,mid,2025-02,85,85,1,True,True
Alfian Sa'at,novelist,pdcopyright,817,GPT-5.4 Mini,openai/gpt-5.4-mini,mid,unknown,98,98,1,True,True
Alfian Sa'at,novelist,pdcopyright,817,Kimi K2 0905,moonshotai/kimi-k2-0905,large,2025-04,95,95,1,True,True
Alfian Sa'at,novelist,pdcopyright,817,DeepSeek V4 Flash,deepseek/deepseek-v4-flash,large,2025-07,95,95,1,True,True
Alfian Sa'at,novelist,pdcopyright,817,Meta Llama 3.3 70B Instruct,meta-llama/llama-3.3-70b-instruct,large,2023-12,80,80,1,True,True
Alfian Sa'at,novelist,pdcopyright,817,Z.ai GLM 4.7 Flash,z-ai/glm-4.7-flash,mid,unknown,100,100,1,True,True
Alfian Sa'at,novelist,pdcopyright,817,Mistral Small 3.2 24B Instruct,mistralai/mistral-small-3.2-24b-instruct,mid,2025-06,90,90,1,True,True
Alfian Sa'at,novelist,pdcopyright,817,Qwen3 8B,qwen/qwen3-8b,small,2025-04,0,0,0,False,True
Alfian Sa'at,novelist,pdcopyright,817,Meta Llama 3.2 1B Instruct,meta-llama/llama-3.2-1b-instruct,small,2023-12,0,0,0,False,True
Alfred Delp,journalist,high,1838,GPT-5.5,openai/gpt-5.5,frontier,2025-12,98,98,1,True,True
Alfred Delp,journalist,high,1838,Claude Opus 4.8,anthropic/claude-opus-4.8,frontier,2025-08,92,92,1,True,True
Alfred Delp,journalist,high,1838,xAI Grok 4.20,x-ai/grok-4.20,frontier,2024-11,80,80,1,True,True
Alfred Delp,journalist,high,1838,Google Gemini 3.1 Flash Lite,google/gemini-3.1-flash-lite,frontier,2026-02,100,100,1,True,True
Alfred Delp,journalist,high,1838,Claude Haiku 4.5,anthropic/claude-haiku-4.5,mid,2025-02,85,85,1,True,True
Alfred Delp,journalist,high,1838,GPT-5.4 Mini,openai/gpt-5.4-mini,mid,unknown,99,99,1,True,True
Alfred Delp,journalist,high,1838,Kimi K2 0905,moonshotai/kimi-k2-0905,large,2025-04,95,95,1,True,True
Alfred Delp,journalist,high,1838,DeepSeek V4 Flash,deepseek/deepseek-v4-flash,large,2025-07,95,95,1,True,True
Alfred Delp,journalist,high,1838,Meta Llama 3.3 70B Instruct,meta-llama/llama-3.3-70b-instruct,large,2023-12,90,90,1,True,True
Alfred Delp,journalist,high,1838,Z.ai GLM 4.7 Flash,z-ai/glm-4.7-flash,mid,unknown,100,100,1,True,True
Alfred Delp,journalist,high,1838,Mistral Small 3.2 24B Instruct,mistralai/mistral-small-3.2-24b-instruct,mid,2025-06,90,90,1,True,True
Alfred Delp,journalist,high,1838,Qwen3 8B,qwen/qwen3-8b,small,2025-04,70,70,1,True,True
Alfred Delp,journalist,high,1838,Meta Llama 3.2 1B Instruct,meta-llama/llama-3.2-1b-instruct,small,2023-12,0,0,0,False,True
Alfredo Bryce Echenique,novelist,pdcopyright,1741,GPT-5.5,openai/gpt-5.5,frontier,2025-12,99,99,1,True,True
Alfredo Bryce Echenique,novelist,pdcopyright,1741,Claude Opus 4.8,anthropic/claude-opus-4.8,frontier,2025-08,95,95,1,True,True
Alfredo Bryce Echenique,novelist,pdcopyright,1741,xAI Grok 4.20,x-ai/grok-4.20,frontier,2024-11,80,80,1,True,True
Alfredo Bryce Echenique,novelist,pdcopyright,1741,Google Gemini 3.1 Flash Lite,google/gemini-3.1-flash-lite,frontier,2026-02,100,100,1,True,True
Alfredo Bryce Echenique,novelist,pdcopyright,1741,Claude Haiku 4.5,anthropic/claude-haiku-4.5,mid,2025-02,95,95,1,True,True
Alfredo Bryce Echenique,novelist,pdcopyright,1741,GPT-5.4 Mini,openai/gpt-5.4-mini,mid,unknown,99,99,1,True,True
Alfredo Bryce Echenique,novelist,pdcopyright,1741,Kimi K2 0905,moonshotai/kimi-k2-0905,large,2025-04,95,95,1,True,True
Alfredo Bryce Echenique,novelist,pdcopyright,1741,DeepSeek V4 Flash,deepseek/deepseek-v4-flash,large,2025-07,95,95,1,True,True
Alfredo Bryce Echenique,novelist,pdcopyright,1741,Meta Llama 3.3 70B Instruct,meta-llama/llama-3.3-70b-instruct,large,2023-12,100,100,1,True,True
Alfredo Bryce Echenique,novelist,pdcopyright,1741,Z.ai GLM 4.7 Flash,z-ai/glm-4.7-flash,mid,unknown,100,100,1,True,True
Alfredo Bryce Echenique,novelist,pdcopyright,1741,Mistral Small 3.2 24B Instruct,mistralai/mistral-small-3.2-24b-instruct,mid,2025-06,90,90,1,True,True
Alfredo Bryce Echenique,novelist,pdcopyright,1741,Qwen3 8B,qwen/qwen3-8b,small,2025-04,0,0,0,False,True
Alfredo Bryce Echenique,novelist,pdcopyright,1741,Meta Llama 3.2 1B Instruct,meta-llama/llama-3.2-1b-instruct,small,2023-12,0,0,0,False,True
Amelia Edwards,novelist,pdpublic,1534,GPT-5.5,openai/gpt-5.5,frontier,2025-12,96,96,1,True,True
Amelia Edwards,novelist,pdpublic,1534,Claude Opus 4.8,anthropic/claude-opus-4.8,frontier,2025-08,85,85,1,True,True
Amelia Edwards,novelist,pdpublic,1534,xAI Grok 4.20,x-ai/grok-4.20,frontier,2024-11,85,85,1,True,True
Amelia Edwards,novelist,pdpublic,1534,Google Gemini 3.1 Flash Lite,google/gemini-3.1-flash-lite,frontier,2026-02,95,95,1,True,True
Amelia Edwards,novelist,pdpublic,1534,Claude Haiku 4.5,anthropic/claude-haiku-4.5,mid,2025-02,95,95,1,True,True
Amelia Edwards,novelist,pdpublic,1534,GPT-5.4 Mini,openai/gpt-5.4-mini,mid,unknown,97,100,2,True,True
Amelia Edwards,novelist,pdpublic,1534,Kimi K2 0905,moonshotai/kimi-k2-0905,large,2025-04,95,95,1,True,True
Amelia Edwards,novelist,pdpublic,1534,DeepSeek V4 Flash,deepseek/deepseek-v4-flash,large,2025-07,95,95,1,True,True
Amelia Edwards,novelist,pdpublic,1534,Meta Llama 3.3 70B Instruct,meta-llama/llama-3.3-70b-instruct,large,2023-12,90,90,1,True,True
Amelia Edwards,novelist,pdpublic,1534,Z.ai GLM 4.7 Flash,z-ai/glm-4.7-flash,mid,unknown,100,100,2,True,True
Amelia Edwards,novelist,pdpublic,1534,Mistral Small 3.2 24B Instruct,mistralai/mistral-small-3.2-24b-instruct,mid,2025-06,90,90,1,True,True
Amelia Edwards,novelist,pdpublic,1534,Qwen3 8B,qwen/qwen3-8b,small,2025-04,90,90,1,True,True
Amelia Edwards,novelist,pdpublic,1534,Meta Llama 3.2 1B Instruct,meta-llama/llama-3.2-1b-instruct,small,2023-12,0,0,0,False,True
Anderson Cooper,journalist,famous,119113,GPT-5.5,openai/gpt-5.5,frontier,2025-12,99,99,1,True,True
Anderson Cooper,journalist,famous,119113,Claude Opus 4.8,anthropic/claude-opus-4.8,frontier,2025-08,98,98,1,True,True
Anderson Cooper,journalist,famous,119113,xAI Grok 4.20,x-ai/grok-4.20,frontier,2024-11,95,95,1,True,True
Anderson Cooper,journalist,famous,119113,Google Gemini 3.1 Flash Lite,google/gemini-3.1-flash-lite,frontier,2026-02,100,100,1,True,True
Anderson Cooper,journalist,famous,119113,Claude Haiku 4.5,anthropic/claude-haiku-4.5,mid,2025-02,95,95,1,True,True
Anderson Cooper,journalist,famous,119113,GPT-5.4 Mini,openai/gpt-5.4-mini,mid,unknown,99,99,1,True,True
Anderson Cooper,journalist,famous,119113,Kimi K2 0905,moonshotai/kimi-k2-0905,large,2025-04,100,100,1,True,True
Anderson Cooper,journalist,famous,119113,DeepSeek V4 Flash,deepseek/deepseek-v4-flash,large,2025-07,100,100,1,True,True
Anderson Cooper,journalist,famous,119113,Meta Llama 3.3 70B Instruct,meta-llama/llama-3.3-70b-instruct,large,2023-12,100,100,1,True,True
Anderson Cooper,journalist,famous,119113,Z.ai GLM 4.7 Flash,z-ai/glm-4.7-flash,mid,unknown,100,100,1,True,True
Anderson Cooper,journalist,famous,119113,Mistral Small 3.2 24B Instruct,mistralai/mistral-small-3.2-24b-instruct,mid,2025-06,95,95,1,True,True
Anderson Cooper,journalist,famous,119113,Qwen3 8B,qwen/qwen3-8b,small,2025-04,95,95,1,True,True
Anderson Cooper,journalist,famous,119113,Meta Llama 3.2 1B Instruct,meta-llama/llama-3.2-1b-instruct,small,2023-12,90,90,1,True,True
Andreas Beck,athlete,deushared,924,GPT-5.5,openai/gpt-5.5,frontier,2025-12,70,63,1,True,True
Andreas Beck,athlete,deushared,924,Claude Opus 4.8,anthropic/claude-opus-4.8,frontier,2025-08,0,0,0,False,True
Andreas Beck,athlete,deushared,924,xAI Grok 4.20,x-ai/grok-4.20,frontier,2024-11,0,0,0,False,True
Andreas Beck,athlete,deushared,924,Google Gemini 3.1 Flash Lite,google/gemini-3.1-flash-lite,frontier,2026-02,0,0,0,False,True
Andreas Beck,athlete,deushared,924,Claude Haiku 4.5,anthropic/claude-haiku-4.5,mid,2025-02,0,0,0,False,True
Andreas Beck,athlete,deushared,924,GPT-5.4 Mini,openai/gpt-5.4-mini,mid,unknown,0,0,0,False,True
Andreas Beck,athlete,deushared,924,Kimi K2 0905,moonshotai/kimi-k2-0905,large,2025-04,0,0,0,False,True
Andreas Beck,athlete,deushared,924,DeepSeek V4 Flash,deepseek/deepseek-v4-flash,large,2025-07,0,0,0,False,True
Andreas Beck,athlete,deushared,924,Meta Llama 3.3 70B Instruct,meta-llama/llama-3.3-70b-instruct,large,2023-12,0,0,0,False,True
Andreas Beck,athlete,deushared,924,Z.ai GLM 4.7 Flash,z-ai/glm-4.7-flash,mid,unknown,0,0,0,False,True
Andreas Beck,athlete,deushared,924,Mistral Small 3.2 24B Instruct,mistralai/mistral-small-3.2-24b-instruct,mid,2025-06,0,0,0,False,True
Andreas Beck,athlete,deushared,924,Qwen3 8B,qwen/qwen3-8b,small,2025-04,0,0,0,False,True
Andreas Beck,athlete,deushared,924,Meta Llama 3.2 1B Instruct,meta-llama/llama-3.2-1b-instruct,small,2023-12,0,0,0,False,True
Andreas Gruschke,journalist,low,124,GPT-5.5,openai/gpt-5.5,frontier,2025-12,95,95,1,True,True
Andreas Gruschke,journalist,low,124,Claude Opus 4.8,anthropic/claude-opus-4.8,frontier,2025-08,70,70,1,True,True
Andreas Gruschke,journalist,low,124,xAI Grok 4.20,x-ai/grok-4.20,frontier,2024-11,70,70,1,True,True
Andreas Gruschke,journalist,low,124,Google Gemini 3.1 Flash Lite,google/gemini-3.1-flash-lite,frontier,2026-02,100,100,1,True,True
Andreas Gruschke,journalist,low,124,Claude Haiku 4.5,anthropic/claude-haiku-4.5,mid,2025-02,65,65,1,True,True
Andreas Gruschke,journalist,low,124,GPT-5.4 Mini,openai/gpt-5.4-mini,mid,unknown,92,92,1,True,True
Andreas Gruschke,journalist,low,124,Kimi K2 0905,moonshotai/kimi-k2-0905,large,2025-04,85,85,1,True,True
Andreas Gruschke,journalist,low,124,DeepSeek V4 Flash,deepseek/deepseek-v4-flash,large,2025-07,90,90,1,True,True
Andreas Gruschke,journalist,low,124,Meta Llama 3.3 70B Instruct,meta-llama/llama-3.3-70b-instruct,large,2023-12,0,0,0,False,True
Andreas Gruschke,journalist,low,124,Z.ai GLM 4.7 Flash,z-ai/glm-4.7-flash,mid,unknown,0,0,0,False,True
Andreas Gruschke,journalist,low,124,Mistral Small 3.2 24B Instruct,mistralai/mistral-small-3.2-24b-instruct,mid,2025-06,80,80,1,True,True
Andreas Gruschke,journalist,low,124,Qwen3 8B,qwen/qwen3-8b,small,2025-04,0,0,0,False,True
Andreas Gruschke,journalist,low,124,Meta Llama 3.2 1B Instruct,meta-llama/llama-3.2-1b-instruct,small,2023-12,0,0,0,False,True
Andreas Ottl,athlete,deuuniq,1231,GPT-5.5,openai/gpt-5.5,frontier,2025-12,98,98,1,True,True
