name,slug,category,fame_tier,fame_label,pageviews_monthly_avg,sitelinks,occupations,matched,matched_referent,matched_descriptor,matched_id,site_category,existence_confidence,weight_rank,weight_total,n_referents,n_models_recognize,n_models
Alfred Delp,alfred-delp,journalist,high,Well-known,1838,25.0,Catholic priest; Catholic theologian; journalist; priest; resistance fighter; teacher,True,Alfred Delp,German Jesuit priest and Kreisau Circle resister,alfred-delp,religion,95.0,7006.0,343471.0,2,12,13
Alfredo Bryce Echenique,alfredo-bryce-echenique,novelist,pdcopyright,Novelist (in-copyright),1741,,novelist,True,Alfredo Bryce Echenique,Peruvian novelist and short-story writer,alfredo-bryce-echenique-writer,writing,95.0,8751.0,343580.0,2,11,13
Amelia Edwards,amelia-edwards,novelist,pdpublic,Novelist (public-domain),1534,,novelist,True,Amelia B. Edwards,English novelist and Egyptologist,amelia-b-edwards-egyptologist,writing,95.0,6399.0,343575.0,3,12,13
Anderson Cooper,anderson-cooper,journalist,famous,Household name,119113,41.0,,True,Anderson Cooper,CNN anchor and journalist,anderson-cooper-journalist,media,100.0,1075.0,343461.0,2,13,13
Andreas Beck,andreas-beck,athlete,deushared,Shared-name German footballer,924,,association football player,True,Andreas Beck,Liechtenstein football midfielder,andreas-beck-footballer-1976,sports,70.0,301622.0,343410.0,12,1,13
Andreas Gruschke,andreas-gruschke,journalist,low,Obscure,124,12.0,anthropologist; author; film producer; geographer; journalist; photographer; sinologist; writer,True,Andreas Gruschke,German Tibetologist and photographer,andreas-gruschke-tibetologist,science,85.0,22876.0,343513.0,6,9,13
Andreas Ottl,andreas-ottl,athlete,deuuniq,Unique-name German footballer,1231,,association football player,True,Andreas Ottl,German former football midfielder,andreas-ottl-footballer,sports,95.0,16049.0,343434.0,4,10,13
Anita Höfer,anita-h~f6~fer,actor,low,Obscure,133,7.0,actor; dub actor; film actor; speaker; television actor; voice actor,True,Anita Höfer,German actress,anita-hofer-actress,film-tv,75.0,57716.0,343473.0,5,6,13
Ann Brashares,ann-brashares,novelist,pdcopyright,Novelist (in-copyright),1451,,novelist,True,Ann Brashares,young-adult novelist,ann-brashares,writing,95.0,2571.0,343567.0,1,13,13
Annemarie Schwarzenbach,annemarie-schwarzenbach,journalist,high,Well-known,2551,31.0,journalist; photographer; poet; traveler; writer,True,Annemarie Schwarzenbach,"Swiss writer, journalist, photographer",annemarie-schwarzenbach-swiss-writer,writing,95.0,9527.0,343455.0,2,11,13
Annie Girardot,annie-girardot,actor,high,Well-known,5088,58.0,actor; film actor; singer; stage actor; television actor,True,Annie Girardot,French film and stage actress,annie-girardot-actress,film-tv,95.0,3622.0,343442.0,2,13,13
Antonio Carlo Napoleone Gallenga,antonio-carlo-napoleone-gallenga,journalist,low,Obscure,108,13.0,emigrant; journalist; politician; university teacher; writer,True,Antonio Carlo Napoleone Gallenga,"Italian writer, journalist, and patriot",antonio-carlo-napoleone-gallenga,writing,85.0,9706.0,343509.0,1,12,13
Antonio Segni,antonio-segni,politician,high,Well-known,2555,59.0,President of the Republic; diplomat; politician,True,Antonio Segni,Italian Prime Minister and President,antonio-segni,politics,95.0,3480.0,343455.0,2,13,13
Armando Guebuza,armando-guebuza,politician,nameuniq,Unique name,2152,,President of the Republic; military personnel; minister; politician,True,Armando Guebuza,former President of Mozambique,armando-guebuza,politics,95.0,3419.0,343560.0,1,13,13
Armin Meier,armin-meier,actor,nameshared,Shared name (4+ namesakes),1009,,actor,True,Armin Meier,German actor and Fassbinder partner,armin-meier-actor,film-tv,80.0,185583.0,343557.0,16,2,13
Avery Corman,avery-corman,novelist,pdcopyright,Novelist (in-copyright),1184,,novelist,True,Avery Corman,playwright,avery-corman-playwright,writing,25.0,,,5,1,13
Aḥmad Ibn-Muḥammad al- Maidānī,a~1e25~mad-ibn~2d~mu~1e25~ammad-al~2d~-maid~101~n~12b~,scientist,low,Obscure,171,7.0,linguist; literary scholar; poet; scientist; writer,True,Aḥmad ibn Muḥammad al-Maidānī,Medieval Islamic theologian,ahmad-ibn-muhammad-al-maidanitheologian,religion,25.0,,,3,2,13
Babett Peter,babett-peter,athlete,deuuniq,Unique-name German footballer,850,,association football player,True,Babett Peter,German football defender,babett-peter-footballer,sports,95.0,48086.0,343431.0,9,5,13
Baldwin Spencer,baldwin-spencer,politician,nameuniq,Unique name,1014,,politician,True,Baldwin Spencer,Antiguan Prime Minister 2004-2014,baldwin-spencer-politician,politics,95.0,11580.0,343581.0,4,11,13
Baron Max Wladimir von Beck,baron-max-wladimir-von-beck,politician,low,Obscure,178,15.0,civil servant; jurist; politician,True,Max Wladimir von Beck,Austrian statesman and Minister-President,max-wladimir-von-beck,politics,90.0,19497.0,343481.0,3,10,13
Barry N. Malzberg,barry-n~2e~-malzberg,novelist,pdcopyright,Novelist (in-copyright),928,,novelist,True,Barry N. Malzberg,American science fiction writer,barry-n-malzberg,writing,95.0,6022.0,343572.0,1,12,13
Beate Finckh,beate-finckh,actor,low,Obscure,146,9.0,actor; film actor; stage actor; television actor,True,Beate Finckh,German film and TV actress,beate-finckh-actress,film-tv,85.0,56604.0,343489.0,6,6,13
Beate Hasenau,beate-hasenau,musician,low,Obscure,181,7.0,actor; cabaret performer; dub actor; film actor; musician; singer; speaker; television actor; voice actor,True,Beate Hasenau,German actress and voice actress,beate-hasenau-actress,film-tv,85.0,41357.0,343473.0,5,6,13
Benoît Trémoulinas,beno~ee~t-tr~e9~moulinas,athlete,nameuniq,Unique name,1101,,association football player,True,Benoît Trémoulinas,French former left-back footballer,benoit-tremoulinas-footballer,sports,95.0,10328.0,343555.0,2,11,13
Bernd Schneider,bernd-schneider,athlete,deushared,Shared-name German footballer,3018,,association football player,True,Bernd Schneider,former Germany midfielder,bernd-schneider-footballer,sports,95.0,14311.0,343413.0,11,11,13
Beyoncé,beyonce,musician,famous,Household name,267767,173.0,,True,Beyoncé Knowles-Carter,American singer and actress,beyonce-knowles-carter,music,100.0,86.0,343426.0,1,13,13
Bill Raisch,bill-raisch,actor,nameuniq,Unique name,1589,,actor; dancer; film actor; television actor,True,Bill Raisch,"actor, one-armed man in The Fugitive",bill-raisch-actor,film-tv,95.0,26407.0,343555.0,6,8,13
Blaise Meliani,blaise-meliani,journalist,high,Well-known,2428,50.0,French foreign legionnaire; adventurer; designer; journalist; librettist; novelist; poet; travel writer; war correspondent; writer,True,Blaise Meliani,French football midfielder,blaise-meliani-footballer,sports,80.0,160262.0,343470.0,6,2,13
Bob Woodward,bob-woodward,journalist,famous,Household name,31534,56.0,,True,Bob Woodward,Watergate investigative journalist,bob-woodward-journalist,media,100.0,1198.0,343453.0,3,13,13
Boris Grebenshchikov,boris-grebenshchikov,journalist,high,Well-known,2890,33.0,actor; composer; film score composer; guitarist; journalist; keyboardist; lyricist; mathematician; multi-instrumentalist; musician; poet; publisher; radio personality; record producer; rock musician; singer; singer-songwriter; writer,True,Boris Grebenshchikov,Russian rock musician and Aquarium founder,boris-grebenshchikov-rock-musician,music,95.0,8801.0,343460.0,3,11,13
Bruno Jonas,bruno-jonas,musician,low,Obscure,157,10.0,actor; cabaret performer; director; film director; musician; non-fiction writer; radio personality; screenwriter; singer; speaker; writer,True,Bruno Jonas,Swedish singer-songwriter,bruno-jonas-swedish,music,10.0,,,7,1,13
Bruno Labbadia,bruno-labbadia,athlete,deuuniq,Unique-name German footballer,1673,,association football player,True,Bruno Labbadia,German football manager and former striker,bruno-labbadia,sports,95.0,3679.0,343432.0,1,13,13
Bruno Pontecorvo,bruno-pontecorvo,scientist,high,Well-known,2105,36.0,nuclear physicist; physicist; scientist,True,Bruno Pontecorvo,Italian-Soviet nuclear physicist,bruno-pontecorvo-physicist,science,95.0,5418.0,343472.0,2,12,13
Béla Rajki,b~e9~la-rajki,athlete,low,Obscure,123,8.0,athlete; coach; swimmer; water polo player,True,Béla Rajki,Hungarian water polo coach,bela-rajki-water-polo,sports,85.0,79166.0,343472.0,6,4,13
Carl Almenräder,carl-almenr~e4~der,musician,low,Obscure,154,8.0,bassoonist; composer; inventor; music educator; musical instrument maker; musician,True,Carl Almenräder,German bassoonist and instrument maker,carl-almenrader-bassoonist,music,95.0,19742.0,343494.0,5,9,13
Carl Friedrich Geiser,carl-friedrich-geiser,scientist,low,Obscure,166,6.0,mathematician; scientist; university teacher,True,Carl Friedrich Geiser,Swiss algebraic geometer,carl-friedrich-geiser-mathematician,science,90.0,16049.0,343506.0,3,11,13
Carlos Rasch,carlos-rasch,journalist,low,Obscure,140,8.0,journalist; science fiction writer; screenwriter; writer,True,Carlos Rasch,German science fiction author,carlos-rasch-german-sf-author,writing,85.0,99421.0,343513.0,7,3,13
Cees Nooteboom,cees-nooteboom,journalist,high,Well-known,2325,52.0,essayist; journalist; literary critic; novelist; poet; prose writer; short story writer; translator; writer,True,Cees Nooteboom,Dutch novelist and poet,cees-nooteboom-writer,writing,95.0,10066.0,343473.0,4,11,13
Charles Nodier,charles-nodier,novelist,pdpublic,Novelist (public-domain),1159,,novelist,True,Charles Nodier,French Romantic author and librarian,charles-nodier-writer,writing,95.0,3399.0,343585.0,2,13,13
"Charles-Victor Prévot, vicomte d'Arlincourt",charles~2d~victor-pr~e9~vot~2c~-vicomte-d~27~arlincourt,novelist,low,Obscure,168,14.0,novelist; playwright; poet; writer,True,"Charles-Victor Prévot, vicomte d'Arlincourt",French Romantic novelist and playwright,charles-victor-prevot-vicomte-darlincourt,writing,90.0,5171.0,343513.0,1,13,13
Christel Peters,christel-peters,actor,low,Obscure,135,8.0,actor; film actor; stage actor; television actor,True,Christel Peters,German film and TV actress,christel-peters-german-actress,film-tv,85.0,49857.0,343481.0,7,6,13
Christian Lell,christian-lell,athlete,deuuniq,Unique-name German footballer,748,,association football player,True,Christian Lell,German former football defender,christian-lell-footballer,sports,85.0,9234.0,343420.0,1,12,13
Christiane Amanpour,christiane-amanpour,journalist,famous,Household name,60324,57.0,,True,Christiane Amanpour,CNN chief international anchor,christiane-amanpour,media,100.0,1613.0,343454.0,1,13,13
Christoph Schlingensief,christoph-schlingensief,actor,high,Well-known,1373,23.0,actor; author; cinematographer; conceptual artist; director; film director; filmmaker; installation artist; opera director; performance artist; performing artist; playwright; screenwriter; theatre designer; theatre director; university teacher; writer,True,Christoph Schlingensief,German avant-garde theater and film director,christoph-schlingensief,arts,95.0,5759.0,343470.0,1,12,13
Clara Rockmore,clara-rockmore,musician,high,Well-known,2739,32.0,composer; musician; violinist,True,Clara Rockmore,theremin virtuoso,clara-rockmore-theremin,music,95.0,4358.0,343442.0,2,12,13
Clemens Fritz,clemens-fritz,athlete,deuuniq,Unique-name German footballer,944,,association football player,True,Clemens Fritz,German footballer and Werder Bremen captain,clemens-fritz-footballer,sports,,12117.0,343436.0,3,11,13
Connor Smith,connor-smith,athlete,nameshared,Shared name (4+ namesakes),968,,association football player,True,Connor Smith,Irish midfielder footballer,connor-smith-irish-footballer,sports,80.0,182198.0,343560.0,14,2,13
Constance Fenimore Woolson,constance-fenimore-woolson,novelist,pdpublic,Novelist (public-domain),1124,,novelist,True,Constance Fenimore Woolson,19th-century American novelist,constance-fenimore-woolson,writing,95.0,5621.0,343585.0,1,12,13
Cylon of Athens,cylon-of-athens,athlete,high,Well-known,1716,26.0,athlete; politician,True,Cylon of Athens,ancient Athenian noble and Olympic victor,cylon-of-athens,politics,95.0,8392.0,343470.0,1,12,13
Daniel Caligiuri,daniel-caligiuri,athlete,deuuniq,Unique-name German footballer,974,,association football player,True,Daniel Caligiuri,American soccer player,daniel-caligiuri-us-player,sports,25.0,,,2,3,13
Daniela Katzenberger,daniela-katzenberger,actor,nameuniq,Unique name,1428,,actor; aesthetician; fashion model; model; singer; television actor; writer,True,Daniela Katzenberger,German reality TV star,daniela-katzenberger,media,95.0,3735.0,343557.0,1,13,13
Danny Williams,danny-williams,athlete,deushared,Shared-name German footballer,671,,association football player,True,Danny Williams,German-American midfielder,danny-williams-footballer,sports,75.0,88563.0,343420.0,11,4,13
David Hurst,david-hurst,actor,nameshared,Shared name (4+ namesakes),2048,,actor; director; film actor; film producer; stage actor; television actor; university teacher,True,David Hurst,British character actor,david-hurst-actor,film-tv,95.0,23866.0,343522.0,16,10,13
David McAllister,david-mcallister,politician,nameshared,Shared name (4+ namesakes),2216,,jurist; lawyer; politician,True,David McAllister,German CDU politician,david-mcallister-german-politician,politics,95.0,16176.0,343557.0,14,10,13
Dennis Aogo,dennis-aogo,athlete,deuuniq,Unique-name German footballer,1148,,association football player,True,Dennis Aogo,German former professional footballer,dennis-aogo-footballer,sports,95.0,9416.0,343434.0,4,11,13
Denzel Washington,denzel-washington,actor,famous,Household name,260181,112.0,,True,Denzel Washington,Academy Award-winning actor and filmmaker,denzel-washington,film-tv,100.0,225.0,343423.0,1,13,13
Diego Contento,diego-contento,athlete,deuuniq,Unique-name German footballer,1755,,association football player,True,Diego Contento,German-Italian left-back footballer,diego-contento-footballer,sports,,18041.0,343450.0,2,10,13
Dieter Müller,dieter-m~fc~ller,athlete,nameshared,Shared name (4+ namesakes),1886,,association football player,True,Dieter Müller,German football striker,dieter-muller-footballer,sports,95.0,17269.0,343548.0,13,10,13
Dmitry of Uglich,dmitry-of-uglich,politician,high,Well-known,2371,29.0,politician,True,Dmitry of Uglich,"Russian tsarevich, son of Ivan the Terrible",dmitry-of-uglich,politics,95.0,7257.0,343453.0,1,12,13
Dmitry Pozharsky,dmitry-pozharsky,politician,nameuniq,Unique name,2118,,military personnel; politician; statesperson,True,Dmitry Pozharsky,Russian politician and Ivanovo governor,dmitry-pozharsky-ivanovo-governor,politics,25.0,,,6,1,13
Egon Erwin Kisch,egon-erwin-kisch,actor,high,Well-known,1740,34.0,actor; feature writer; journalist; reporter; writer,True,Egon Erwin Kisch,Czech-Austrian journalist and writer,egon-erwin-kisch,writing,95.0,5483.0,343432.0,2,12,13
Elise Aulinger,elise-aulinger,actor,low,Obscure,178,12.0,actor; film actor; stage actor,True,Elise Aulinger,German stage and film actress,elise-aulinger-actress,film-tv,85.0,96472.0,343473.0,7,3,13
Ellen Gilchrist,ellen-gilchrist,novelist,pdcopyright,Novelist (in-copyright),720,,novelist,True,Ellen Gilchrist,American novelist and poet,ellen-gilchrist-writer,writing,95.0,7202.0,343582.0,3,12,13
Emilia Pardo Bazán,emilia-pardo-baz~e1~n,novelist,pdpublic,Novelist (public-domain),1563,,novelist,True,Emilia Pardo Bazán,Spanish novelist and feminist,emilia-pardo-bazan,writing,95.0,2291.0,343585.0,1,13,13
Enrique Vila-Matas,enrique-vila~2d~matas,novelist,pdcopyright,Novelist (in-copyright),1497,,novelist,True,Enrique Vila-Matas,Spanish metafictional novelist,enrique-vila-matas,writing,95.0,2851.0,343572.0,1,13,13
Eric Szmanda,eric-szmanda,actor,high,Well-known,6146,30.0,actor; film actor; model; television actor,True,Eric Szmanda,CSI actor Greg Sanders,eric-szmanda-csi,film-tv,95.0,13507.0,343455.0,4,10,13
Erik Zabel,erik-zabel,athlete,high,Well-known,2013,33.0,athlete; sport cyclist; track cyclist,True,Erik Zabel,German cycling sprinter,erik-zabel,sports,95.0,6022.0,343471.0,1,12,13
Ernest Bai Koroma,ernest-bai-koroma,politician,high,Well-known,2647,50.0,entrepreneur; politician,True,Ernest Bai Koroma,former President of Sierra Leone,ernest-bai-koroma,politics,95.0,5693.0,343426.0,1,12,13
Ernest Julius Wilczynski,ernest-julius-wilczynski,scientist,low,Obscure,147,8.0,mathematician; physicist; scientist; university teacher,True,Ernest Julius Wilczynski,American differential geometer,ernest-julius-wilczynski,science,95.0,13517.0,343499.0,2,11,13
"Ernst I, Prince of Hohenlohe-Langenburg",ernst-i~2c~-prince-of-hohenlohe~2d~langenburg,politician,nameuniq,Unique name,2214,,aristocrat; major general; politician,True,"Ernst I, Prince of Hohenlohe-Langenburg",German prince 1794-1860,ernst-i-1794-1860,politics,95.0,32549.0,343579.0,5,7,13
Erwin Blask,erwin-blask,athlete,low,Obscure,154,14.0,athlete; athletics competitor; police officer,True,Erwin Blask,German Olympic hammer thrower,erwin-blask-hammer-thrower,sports,85.0,33098.0,343499.0,5,7,13
Fanny Stevenson,fanny-stevenson,novelist,pdpublic,Novelist (public-domain),1725,,novelist,True,Fanny Stevenson,American poet,fanny-stevenson-poet,writing,10.0,,,5,1,13
Fatima Gallaire,fatima-gallaire,novelist,low,Obscure,104,11.0,novelist; playwright; writer,True,Fatima Gallaire,Algerian-French playwright,fatima-gallaire-playwright,writing,90.0,41179.0,343506.0,5,6,13
Fawzi Salloukh,fawzi-salloukh,politician,low,Obscure,181,10.0,ambassador; author; diplomat; editor; politician,True,Fawzi Salloukh,Lebanese diplomat and former foreign minister,fawzi-salloukh-lebanese-diplomat,politics,90.0,30386.0,343472.0,4,8,13
Felix von Hartmann,felix-von-hartmann,politician,low,Obscure,188,16.0,Catholic bishop; Catholic priest; Catholic theologian; archbishop; bishop; politician,True,Felix von Hartmann,"German cardinal, Archbishop of Cologne",felix-von-hartmann-cologne-cardinal,religion,90.0,110067.0,343472.0,8,3,13
Fiona Pitt-Kethley,fiona-pitt~2d~kethley,novelist,low,Obscure,235,5.0,autobiographer; journalist; novelist; poet; prose writer; travel writer; traveler; writer,True,Fiona Pitt-Kethley,British erotic poet and travel writer,fiona-pitt-kethley-poet,writing,90.0,15171.0,343515.0,3,10,13
Fleury Di Nallo,fleury-di-nallo,athlete,nameuniq,Unique name,1080,,association football player,True,Fleury Di Nallo,"French footballer, Olympique Lyonnais striker",fleury-di-nallo-footballer,sports,95.0,32072.0,343579.0,4,7,13
Florence Dixie,florence-dixie,novelist,pdpublic,Novelist (public-domain),1062,,novelist,True,Lady Florence Dixie,Scottish writer and feminist,florence-dixie-lady,writing,95.0,7360.0,343575.0,2,12,13
Frances Marion,frances-marion,novelist,high,Well-known,2434,54.0,actor; film actor; film director; film screenwriter; journalist; novelist; screenwriter; writer,True,Frances Marion,pioneering Hollywood screenwriter,frances-marion-screenwriter,film-tv,95.0,8883.0,343473.0,3,11,13
Frank Baumgartl,frank-baumgartl,athlete,low,Obscure,123,14.0,athlete; athletics competitor; engineer,True,Frank Baumgartl,East German steeplechase runner,frank-baumgartl-steeplechase,sports,85.0,66135.0,343498.0,7,4,13
Frank Schmidt,frank-schmidt,athlete,deushared,Shared-name German footballer,5219,,association football player,True,Frank Schmidt,German football manager,frank-schmidt-german-football-manager,sports,95.0,32853.0,343415.0,16,8,13
Frank Wedekind,frank-wedekind,journalist,high,Well-known,2920,54.0,actor; author; composer; dramaturge; journalist; lyricist; playwright; poet; screenwriter; stage actor; writer,True,Frank Wedekind,German playwright and poet,frank-wedekind,writing,95.0,5265.0,343471.0,1,12,13
Franz Josef Huber,franz-josef-huber,politician,nameshared,Shared name (4+ namesakes),1501,,Gestapo employee; politician; soldier,True,Franz Josef Huber,Austrian governor Upper Austria,franz-josef-huber-politician,politics,40.0,,,6,1,13
Franz Roth,franz-roth,athlete,deushared,Shared-name German footballer,903,,association football player,True,Franz Roth,"German footballer, Bayern Munich midfielder",franz-roth-footballer,sports,95.0,16970.0,343393.0,8,10,13
Franz von Jauner,franz-von-jauner,actor,low,Obscure,159,7.0,actor; conductor; director; music director; stage actor; theatre manager,True,Franz von Jauner,Austrian theater director and actor,franz-von-jauner-theater,arts,85.0,29295.0,343481.0,5,8,13
Franz-Olivier Giesbert,franz~2d~olivier-giesbert,novelist,pdcopyright,Novelist (in-copyright),898,,novelist,True,Franz-Olivier Giesbert,French journalist and author,franz-olivier-giesbert-journalist,media,90.0,10328.0,343581.0,3,11,13
Frederick Rolfe,frederick-rolfe,novelist,pdpublic,Novelist (public-domain),1795,,novelist,True,Frederick Rolfe,English writer and artist,frederick-rolfe-baron-corvo,writing,95.0,10066.0,343572.0,6,11,13
Gardner Dozois,gardner-dozois,novelist,pdcopyright,Novelist (in-copyright),1829,,novelist,True,Gardner Dozois,science fiction editor and author,gardner-dozois-editor,writing,,4962.0,343557.0,2,12,13
Georg Schenck van Toutenburg,georg-schenck-van-toutenburg,politician,low,Obscure,187,7.0,politician,True,Georg Schenck van Toutenburg,16th-century Habsburg stadtholder,georg-schenck-van-toutenburg-stadtholder,politics,90.0,23449.0,343481.0,4,9,13
Georg Weerth,georg-weerth,journalist,low,Obscure,213,12.0,journalist; poet; writer,True,Georg Weerth,German poet and journalist,georg-weerth,writing,95.0,8364.0,343513.0,1,12,13
George Washington Cable,george-washington-cable,novelist,pdpublic,Novelist (public-domain),1296,,novelist,True,George Washington Cable,American novelist of Creole Louisiana,george-washington-cable,writing,95.0,5889.0,343580.0,1,12,13
Gerard Leckie,gerard-leckie,scientist,low,Obscure,154,5.0,scientist,True,Gerard Leckie,Australian demographer,gerard-leckie-australian-demographer,science,45.0,,,8,1,13
Gerd Roggensack,gerd-roggensack,athlete,low,Obscure,136,7.0,association football coach; association football player; athlete,True,Gerd Roggensack,German footballer and manager,gerd-roggensack-footballer,sports,85.0,125015.0,343500.0,7,3,13
Giorgio Parisi,giorgio-parisi,scientist,high,Well-known,3272,55.0,physicist; scientist; theoretical physicist; university teacher,True,Giorgio Parisi,Italian Nobel-winning theoretical physicist,giorgio-parisi-physicist,science,95.0,4867.0,343473.0,2,12,13
Giovanna Mezzogiorno,giovanna-mezzogiorno,actor,high,Well-known,2259,30.0,actor; film actor; film director; stage actor,True,Giovanna Mezzogiorno,Italian film actress,giovanna-mezzogiorno,film-tv,95.0,3546.0,343455.0,1,13,13
Giuseppe Reina,giuseppe-reina,athlete,deushared,Shared-name German footballer,767,,association football player,True,Giuseppe Reina,German football manager,giuseppe-reina-manager,sports,45.0,,,15,1,13
Gottfried Fuchs,gottfried-fuchs,athlete,deushared,Shared-name German footballer,790,,association football player,True,Gottfried Fuchs,German Olympic footballer,gottfried-fuchs-footballer,sports,95.0,12479.0,343410.0,4,11,13
Gregory Benford,gregory-benford,novelist,high,Well-known,2305,37.0,astronomer; astrophysicist; novelist; physicist; science fiction writer; university teacher; writer,True,Gregory Benford,American astrophysicist and science-fiction author,gregory-benford,writing,95.0,3163.0,343475.0,2,13,13
Gustav Meyrink,gustav-meyrink,novelist,high,Well-known,2136,54.0,banker; novelist; playwright; science fiction writer; screenwriter; translator; writer,True,Gustav Meyrink,Austrian occult novelist,gustav-meyrink-writer,writing,95.0,5640.0,343481.0,2,12,13
Haluk Piyes,haluk-piyes,actor,low,Obscure,203,7.0,actor; director; film actor; film director; film screenwriter; sociologist; television actor,True,Haluk Piyes,Turkish-German actor,haluk-piyes-actor,film-tv,85.0,23298.0,343488.0,2,9,13
Hannelore Rönsch,hannelore-r~f6~nsch,politician,low,Obscure,185,8.0,politician,True,Hannelore Rönsch,German CDU politician,hannelore-ronsch-politician,politics,90.0,16457.0,343481.0,3,11,13
Hans Vogel,hans-vogel,politician,nameshared,Shared name (4+ namesakes),1739,,functionary; member of parliament; politician; wood sculptor,True,Hans Vogel,Swiss parliament member,hans-vogel-swiss-mp,politics,,325158.0,343513.0,16,1,13
Hans-Jürgen Buchner,hans~2d~j~fc~rgen-buchner,musician,low,Obscure,151,5.0,composer; film score composer; musician; songwriter,True,Hans-Jürgen Buchner,German folk-rock musician,hans-jurgen-buchner-musician,music,90.0,28723.0,343496.0,5,8,13
Harald Vogel,harald-vogel,musician,low,Obscure,178,7.0,musician; musicologist; organist; university teacher,True,Harald Vogel,German organist and musicologist,harald-vogel-organist,music,95.0,23569.0,343471.0,7,9,13
Heidi Brühl,heidi-br~fc~hl,musician,high,Well-known,3206,27.0,actor; dancer; film actor; musician; record producer; schlager singer; singer,True,Heidi Brühl,German actress and singer,heidi-br-hl-german-actress-singer,film-tv,95.0,15956.0,343470.0,5,10,13
Heinz Hoffmann,heinz-hoffmann,politician,nameshared,Shared name (4+ namesakes),1281,,politician; resistance fighter,True,Heinz Hoffmann,East German defense minister,heinz-hoffmann-east-german-politician,politics,95.0,18757.0,343549.0,10,10,13
Heinz Melkus,heinz-melkus,athlete,low,Obscure,225,8.0,athlete; chauffeur; design engineer; racing automobile driver; racing driver,True,Heinz Melkus,East German racing driver and constructor,heinz-melkus-racing,sports,95.0,11406.0,343489.0,4,11,13
Helena Araújo,helena-ara~fa~jo,novelist,low,Obscure,146,10.0,essayist; hispanist; literary critic; novelist; prose writer; university teacher; writer,True,Helena Araújo,Colombian feminist writer,helena-araujo-colombian-writer,writing,85.0,54553.0,343495.0,9,6,13
Helge Payer,helge-payer,journalist,low,Obscure,203,16.0,association football player; journalist,True,Helge Payer,Austrian former football goalkeeper,helge-payer-footballer,sports,95.0,30790.0,343514.0,6,7,13
Henry Vahl,henry-vahl,musician,low,Obscure,176,9.0,actor; film actor; musician; popular actor; singer; stage actor,True,Henry Vahl,Danish musical-theatre performer,henry-vahl-danish-actor,film-tv,40.0,,,4,1,13
Herman Brusselmans,herman-brusselmans,novelist,pdcopyright,Novelist (in-copyright),729,,novelist,True,Herman Brusselmans,Flemish novelist and columnist,herman-brusselmans-writer,writing,95.0,10294.0,343581.0,4,11,13
Herman Murray,herman-murray,athlete,low,Obscure,121,11.0,Olympic champion; athlete; ice hockey player,True,Herman Murray,Canadian ice hockey player,herman-murray-ice-hockey,sports,80.0,123446.0,343506.0,8,3,13
Hienadz Karpienka,hienadz-karpienka,scientist,low,Obscure,154,9.0,engineer; politician; scientist,True,Hienadz Karpienka,Belarusian opposition politician,hienadz-karpienka-politician,politics,85.0,26259.0,343513.0,4,9,13
